model,accuracy,precision,recall,f1,roc_auc
GradientBoosting,0.8465,0.7567,0.855,0.8028,0.933
LightGBM,0.85,0.7419,0.9042,0.815,0.9315
RandomForest,0.842,0.704,0.9795,0.8192,0.9298
XGBoost,0.844,0.7378,0.8892,0.8065,0.9297
MLP,0.8365,0.7244,0.8919,0.7995,0.924
ExtraTrees,0.8325,0.6871,0.9945,0.8127,0.9239
AdaBoost,0.8355,0.6978,0.9699,0.8117,0.9222
DecisionTree,0.846,0.7291,0.9207,0.8138,0.9184
LogisticRegression,0.829,0.6837,0.9904,0.8089,0.917
SVC_RBF,0.829,0.6823,0.9959,0.8098,0.91
NaiveBayes,0.826,0.6802,0.9891,0.806,0.8845
KNN,0.794,0.691,0.7893,0.7369,0.8841
